Answer.time_in_minutes,rating,response,Answer.condition,trial_type,version,condition,text,workerid
2.8855,6,amazing,condition 2,trials,m,neutral,The carrot cake was ,3
2.8855,5,pretty good,condition 2,trials,m,neutral,The cinnamon rolls were ,3
2.8855,0,a nightmare,condition 2,trials,m,neutral,The red velvet cake was ,3
2.8855,1,horrible,condition 2,trials,m,neutral,The donuts were ,3
2.8855,6,excellent,condition 2,trials,m,neutral,The croissants were ,3
2.8855,5,pretty good,condition 2,trials,m,neutral,The cheesecake was ,3
5.482583333333333,,decent,condition 1,practice,,,,4
5.482583333333333,2,pretty bad,condition 1,trials,f,neutral,The pecan pie was ,4
5.482583333333333,0,the worst,condition 1,trials,f,neutral,The donuts were ,4
5.482583333333333,4,decent,condition 1,trials,f,neutral,The croissants were ,4
5.482583333333333,3,not great,condition 1,trials,f,neutral,The cherry pie was ,4
5.482583333333333,4,not bad,condition 1,trials,f,neutral,The red velvet cake was ,4
5.482583333333333,3,not great,condition 1,trials,f,neutral,The apple pie was ,4
5.482583333333333,1,terrible,condition 1,trials,f,neutral,The chocolate cake was ,4
5.482583333333333,5,great,condition 1,trials,f,neutral,The lemon loaf was ,4
5.482583333333333,6,the best,condition 1,trials,f,neutral,The bear claw was ,4
5.482583333333333,6,absolutely magnificent,condition 1,trials,f,neutral,The chocolate chip cookies were ,4
5.482583333333333,2,really bad,condition 1,trials,f,neutral,The cinnamon rolls were ,4
5.482583333333333,1,awful,condition 1,trials,f,neutral,The cheesecake was ,4
5.482583333333333,5,fantasic,condition 1,trials,f,neutral,The carrot cake was ,4
5.482583333333333,0,disgusting,condition 1,trials,f,neutral,The blueberry lavender scone was ,4
