type,sentence2,Answer.condition,rating_other,modal2,sentence1,rating1,image,workerid,reverse_sent_order,modal1,Answer.time_in_minutes,condition,rating2,percent_window
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.15000000000000013,./stim/images/prob_50_4.png,0,1,probably,9.803316666666667,3,0.85,50
aisle_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_0_3.png,0,1,probably,9.803316666666667,3,0,0
window_3,You might get one.,undefined,0.18999999999999984,might,You'll probably get one.,0,./stim/images/prob_10_4.png,0,1,probably,9.803316666666667,3,0.81,10
window_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_0_1.png,0,1,probably,9.803316666666667,3,0,0
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.10999999999999988,./stim/images/prob_60_1.png,0,1,probably,9.803316666666667,3,0.89,60
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.76,./stim/images/prob_75_5.png,0,1,probably,9.803316666666667,3,0.24,75
aisle_3,You might get one.,undefined,0.24,might,You'll probably get one.,0,./stim/images/prob_90_1.png,0,1,probably,9.803316666666667,3,0.76,90
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.26,./stim/images/prob_50_5.png,0,1,probably,9.803316666666667,3,0.74,50
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.8899999999999999,./stim/images/prob_25_3.png,0,1,probably,9.803316666666667,3,0.11,25
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.8200000000000001,./stim/images/prob_25_5.png,0,1,probably,9.803316666666667,3,0.18,25
aisle_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_100_4.png,0,1,probably,9.803316666666667,3,0,100
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.24,./stim/images/prob_40_2.png,0,1,probably,9.803316666666667,3,0.76,40
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.76,./stim/images/prob_90_1.png,0,1,probably,9.803316666666667,3,0.23999999999999988,90
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.27,./stim/images/prob_60_2.png,0,1,probably,9.803316666666667,3,0.73,60
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.35,./stim/images/prob_40_4.png,0,1,probably,9.803316666666667,3,0.65,40
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.38,./stim/images/prob_50_1.png,0,1,probably,9.803316666666667,3,0.62,50
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.28,./stim/images/prob_50_5.png,0,1,probably,9.803316666666667,3,0.72,50
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.09000000000000008,./stim/images/prob_75_5.png,0,1,probably,9.803316666666667,3,0.91,75
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.9099999999999999,./stim/images/prob_10_3.png,0,1,probably,9.803316666666667,3,0.09,10
window_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_100_3.png,0,1,probably,9.803316666666667,3,0,100
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.6,./stim/images/prob_40_4.png,0,1,probably,9.803316666666667,3,0.4,40
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.41000000000000014,./stim/images/prob_60_4.png,0,1,probably,9.803316666666667,3,0.59,60
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.26,./stim/images/prob_40_4.png,1,0,probably,10.896966666666666,3,0.73,40
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.26,./stim/images/prob_40_1.png,1,0,probably,10.896966666666666,3,0.74,40
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.39,./stim/images/prob_25_1.png,1,0,probably,10.896966666666666,3,0.6099999999999999,25
window_3,You might get one.,undefined,0,might,You'll probably get one.,1,./stim/images/prob_100_3.png,1,0,probably,10.896966666666666,3,0,100
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_75_1.png,1,0,probably,10.896966666666666,3,1,75
window_3,You might get one.,undefined,0,might,You'll probably get one.,1,./stim/images/prob_100_2.png,1,0,probably,10.896966666666666,3,0,100
window_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_25_1.png,1,0,probably,10.896966666666666,3,1,25
aisle_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_100_1.png,1,0,probably,10.896966666666666,3,0,100
window_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_60_5.png,1,0,probably,10.896966666666666,3,1,60
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,1,./stim/images/prob_0_2.png,1,0,probably,10.896966666666666,3,0,0
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_50_1.png,1,0,probably,10.896966666666666,3,1,50
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,1,./stim/images/prob_0_1.png,1,0,probably,10.896966666666666,3,0,0
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.16,./stim/images/prob_50_5.png,1,0,probably,10.896966666666666,3,0.8400000000000001,50
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.16,./stim/images/prob_40_5.png,1,0,probably,10.896966666666666,3,0.8400000000000001,40
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_75_1.png,1,0,probably,10.896966666666666,3,1,75
aisle_3,You might get one.,undefined,0.30000000000000004,might,You'll probably get one.,0,./stim/images/prob_90_2.png,1,0,probably,10.896966666666666,3,0.7,90
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.37,./stim/images/prob_50_2.png,1,0,probably,10.896966666666666,3,0.6299999999999999,50
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.17,./stim/images/prob_60_5.png,1,0,probably,10.896966666666666,3,0.8300000000000001,60
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.72,./stim/images/prob_75_2.png,1,0,probably,10.896966666666666,3,0.2799999999999999,75
aisle_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_100_3.png,1,0,probably,10.896966666666666,3,0,100
window_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_0_3.png,1,0,probably,10.896966666666666,3,0,0
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,1,./stim/images/prob_10_2.png,1,0,probably,10.896966666666666,3,0,10
window_3,You might get one.,undefined,0.3700000000000001,might,You'll probably get one.,0,./stim/images/prob_10_3.png,1,0,probably,10.896966666666666,3,0.63,10
window_3,You might get one.,undefined,0,might,You'll probably get one.,1,./stim/images/prob_90_4.png,1,0,probably,10.896966666666666,3,0,90
window_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_0_3.png,1,0,probably,10.896966666666666,3,0,0
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.1499999999999999,./stim/images/prob_40_5.png,1,0,probably,10.896966666666666,3,0.85,40
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.33999999999999986,./stim/images/prob_75_5.png,1,0,probably,10.896966666666666,3,0.66,75
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.63,./stim/images/prob_25_1.png,1,0,probably,10.896966666666666,3,0.3700000000000001,25
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.29000000000000004,./stim/images/prob_60_2.png,1,0,probably,10.896966666666666,3,0.71,60
window_3,You might get one.,undefined,0.41000000000000014,might,You'll probably get one.,0,./stim/images/prob_25_3.png,1,0,probably,10.896966666666666,3,0.59,25
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.38,./stim/images/prob_60_2.png,1,0,probably,10.896966666666666,3,0.62,60
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.27000000000000013,./stim/images/prob_50_2.png,1,0,probably,10.896966666666666,3,0.73,50
window_3,You might get one.,undefined,0,might,You'll probably get one.,1,./stim/images/prob_90_5.png,1,0,probably,10.896966666666666,3,0,90
window_3,You might get one.,undefined,0.3600000000000001,might,You'll probably get one.,0,./stim/images/prob_10_1.png,1,0,probably,10.896966666666666,3,0.64,10
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.79,./stim/images/prob_10_4.png,1,0,probably,10.896966666666666,3,0.21000000000000008,10
aisle_3,You might get one.,undefined,0.2600000000000001,might,You'll probably get one.,0,./stim/images/prob_90_4.png,1,0,probably,10.896966666666666,3,0.74,90
window_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_25_1.png,2,1,probably,11.9707,3,1,25
window_3,You might get one.,undefined,0.76,might,You'll probably get one.,0.24,./stim/images/prob_100_4.png,2,1,probably,11.9707,3,0,100
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.1399999999999999,./stim/images/prob_40_5.png,2,1,probably,11.9707,3,0.86,40
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_75_3.png,2,1,probably,11.9707,3,1,75
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_60_5.png,2,1,probably,11.9707,3,1,60
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_60_4.png,2,1,probably,11.9707,3,1,60
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_90_1.png,2,1,probably,11.9707,3,1,90
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_50_5.png,2,1,probably,11.9707,3,1,50
window_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_60_4.png,2,1,probably,11.9707,3,1,60
window_3,You might get one.,undefined,0.009999999999999898,might,You'll probably get one.,0.92,./stim/images/prob_90_2.png,2,1,probably,11.9707,3,0.07,90
window_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_40_4.png,2,1,probably,11.9707,3,1,40
window_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_50_1.png,2,1,probably,11.9707,3,1,50
window_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_0_3.png,2,1,probably,11.9707,3,0,0
window_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_60_1.png,2,1,probably,11.9707,3,1,60
window_3,You might get one.,undefined,0.21999999999999986,might,You'll probably get one.,0,./stim/images/prob_10_2.png,2,1,probably,11.9707,3,0.78,10
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.15,./stim/images/prob_75_1.png,2,1,probably,11.9707,3,0.8500000000000001,75
aisle_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_100_4.png,2,1,probably,11.9707,3,0,100
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.94,./stim/images/prob_10_5.png,2,1,probably,11.9707,3,0.05999999999999994,10
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.09,./stim/images/prob_25_5.png,2,1,probably,11.9707,3,0.9099999999999999,25
aisle_3,You might get one.,undefined,0.8899999999999999,might,You'll probably get one.,0.11,./stim/images/prob_0_3.png,2,1,probably,11.9707,3,0,0
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_50_4.png,2,1,probably,11.9707,3,1,50
window_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_10_4.png,2,1,probably,11.9707,3,1,10
window_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_40_1.png,2,1,probably,11.9707,3,1,40
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.06000000000000005,./stim/images/prob_25_4.png,2,1,probably,11.9707,3,0.94,25
window_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_50_2.png,2,1,probably,11.9707,3,1,50
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.93,./stim/images/prob_90_2.png,2,1,probably,11.9707,3,0.07000000000000006,90
window_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_0_4.png,2,1,probably,11.9707,3,0,0
aisle_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_0_1.png,2,1,probably,11.9707,3,0,0
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.3800000000000001,./stim/images/prob_75_2.png,2,1,probably,11.9707,3,0.6199999999999999,75
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_75_3.png,2,1,probably,11.9707,3,1,75
window_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_25_3.png,2,1,probably,11.9707,3,1,25
aisle_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_100_4.png,2,1,probably,11.9707,3,0,100
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_40_4.png,2,1,probably,11.9707,3,1,40
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_90_5.png,2,1,probably,11.9707,3,1,90
window_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_100_2.png,2,1,probably,11.9707,3,0,100
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.96,./stim/images/prob_10_1.png,2,1,probably,11.9707,3,0.040000000000000036,10
window_3,You might get one.,undefined,0.18000000000000016,might,You'll probably get one.,0,./stim/images/prob_25_5.png,3,0,probably,9.81105,3,0.82,25
aisle_3,You might get one.,undefined,0.26,might,You'll probably get one.,0.18,./stim/images/prob_60_2.png,3,0,probably,9.81105,3,0.56,60
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.14,./stim/images/prob_10_2.png,3,0,probably,9.81105,3,0.8599999999999999,10
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.14,./stim/images/prob_60_4.png,3,0,probably,9.81105,3,0.86,60
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.08,./stim/images/prob_50_3.png,3,0,probably,9.81105,3,0.9199999999999999,50
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.3,./stim/images/prob_40_1.png,3,0,probably,9.81105,3,0.7000000000000001,40
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.1100000000000001,./stim/images/prob_40_2.png,3,0,probably,9.81105,3,0.89,40
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,1,./stim/images/prob_0_5.png,3,0,probably,9.81105,3,0,0
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,1,./stim/images/prob_0_5.png,3,0,probably,9.81105,3,0,0
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_90_2.png,3,0,probably,9.81105,3,1,90
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.92,./stim/images/prob_90_2.png,3,0,probably,9.81105,3,0.07999999999999996,90
aisle_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_100_1.png,3,0,probably,9.81105,3,0,100
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.22,./stim/images/prob_75_2.png,3,0,probably,9.81105,3,0.78,75
window_3,You might get one.,undefined,0,might,You'll probably get one.,1,./stim/images/prob_100_5.png,3,0,probably,9.81105,3,0,100
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.61,./stim/images/prob_25_1.png,3,0,probably,9.81105,3,0.3900000000000001,25
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.3400000000000001,./stim/images/prob_75_2.png,3,0,probably,9.81105,3,0.66,75
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.73,./stim/images/prob_90_3.png,3,0,probably,9.81105,3,0.27,90
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.29,./stim/images/prob_75_4.png,3,0,probably,9.81105,3,0.71,75
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.17999999999999994,./stim/images/prob_50_5.png,3,0,probably,9.81105,3,0.82,50
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_90_4.png,3,0,probably,9.81105,3,1,90
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.1,./stim/images/prob_40_2.png,3,0,probably,9.81105,3,0.8999999999999999,40
window_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_0_3.png,3,0,probably,9.81105,3,0,0
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.8,./stim/images/prob_10_1.png,3,0,probably,9.81105,3,0.19999999999999984,10
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.39,./stim/images/prob_25_3.png,3,0,probably,9.81105,3,0.6100000000000001,25
aisle_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_100_5.png,3,0,probably,9.81105,3,0,100
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.73,./stim/images/prob_10_2.png,3,0,probably,9.81105,3,0.27,10
window_3,You might get one.,undefined,0,might,You'll probably get one.,1,./stim/images/prob_100_3.png,3,0,probably,9.81105,3,0,100
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.17,./stim/images/prob_40_4.png,3,0,probably,9.81105,3,0.83,40
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.13,./stim/images/prob_50_5.png,3,0,probably,9.81105,3,0.87,50
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.14,./stim/images/prob_75_2.png,3,0,probably,9.81105,3,0.86,75
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.18,./stim/images/prob_60_4.png,3,0,probably,9.81105,3,0.82,60
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.21,./stim/images/prob_60_1.png,3,0,probably,9.81105,3,0.7899999999999999,60
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.05,./stim/images/prob_10_5.png,3,0,probably,9.81105,3,0.95,10
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.17,./stim/images/prob_50_1.png,3,0,probably,9.81105,3,0.8300000000000001,50
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.14,./stim/images/prob_25_1.png,3,0,probably,9.81105,3,0.8600000000000001,25
window_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_0_1.png,3,0,probably,9.81105,3,0,0
window_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_60_1.png,4,0,probably,9.138783333333333,3,1,60
window_3,You might get one.,undefined,0.83,might,You'll probably get one.,0,./stim/images/prob_10_3.png,4,0,probably,9.138783333333333,3,0.16999999999999993,10
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.66,./stim/images/prob_75_3.png,4,0,probably,9.138783333333333,3,0.34,75
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.98,./stim/images/prob_10_2.png,4,0,probably,9.138783333333333,3,0.020000000000000018,10
aisle_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_90_3.png,4,0,probably,9.138783333333333,3,0,90
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.1299999999999999,./stim/images/prob_25_2.png,4,0,probably,9.138783333333333,3,0.87,25
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.1299999999999999,./stim/images/prob_25_2.png,4,0,probably,9.138783333333333,3,0.87,25
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,1,./stim/images/prob_0_1.png,4,0,probably,9.138783333333333,3,0,0
aisle_3,You might get one.,undefined,0.99,might,You'll probably get one.,0,./stim/images/prob_90_3.png,4,0,probably,9.138783333333333,3,0.010000000000000009,90
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.98,./stim/images/prob_90_3.png,4,0,probably,9.138783333333333,3,0.020000000000000018,90
window_3,You might get one.,undefined,0,might,You'll probably get one.,1,./stim/images/prob_100_3.png,4,0,probably,9.138783333333333,3,0,100
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,1,./stim/images/prob_0_1.png,4,0,probably,9.138783333333333,3,0,0
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.73,./stim/images/prob_25_3.png,4,0,probably,9.138783333333333,3,0.27,25
window_3,You might get one.,undefined,0,might,You'll probably get one.,1,./stim/images/prob_100_2.png,4,0,probably,9.138783333333333,3,0,100
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.17999999999999994,./stim/images/prob_40_1.png,4,0,probably,9.138783333333333,3,0.82,40
window_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_60_1.png,4,0,probably,9.138783333333333,3,1,60
window_3,You might get one.,undefined,0.95,might,You'll probably get one.,0,./stim/images/prob_10_5.png,4,0,probably,9.138783333333333,3,0.050000000000000044,10
aisle_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_100_2.png,4,0,probably,9.138783333333333,3,0,100
window_3,You might get one.,undefined,0.71,might,You'll probably get one.,0,./stim/images/prob_40_2.png,4,0,probably,9.138783333333333,3,0.29,40
window_3,You might get one.,undefined,0.72,might,You'll probably get one.,0,./stim/images/prob_25_1.png,4,0,probably,9.138783333333333,3,0.28000000000000014,25
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.28,./stim/images/prob_40_3.png,4,0,probably,9.138783333333333,3,0.7199999999999999,40
window_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_0_2.png,4,0,probably,9.138783333333333,3,0,0
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.58,./stim/images/prob_75_2.png,4,0,probably,9.138783333333333,3,0.42,75
aisle_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_100_3.png,4,0,probably,9.138783333333333,3,0,100
aisle_3,You might get one.,undefined,0.8899999999999999,might,You'll probably get one.,0,./stim/images/prob_75_4.png,4,0,probably,9.138783333333333,3,0.11,75
window_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_0_5.png,4,0,probably,9.138783333333333,3,0,0
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.89,./stim/images/prob_10_2.png,4,0,probably,9.138783333333333,3,0.1100000000000001,10
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.35,./stim/images/prob_50_3.png,4,0,probably,9.138783333333333,3,0.65,50
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.93,./stim/images/prob_90_5.png,4,0,probably,9.138783333333333,3,0.06999999999999984,90
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.31,./stim/images/prob_40_4.png,4,0,probably,9.138783333333333,3,0.6900000000000001,40
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_50_2.png,4,0,probably,9.138783333333333,3,1,50
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_50_2.png,4,0,probably,9.138783333333333,3,1,50
aisle_3,You might get one.,undefined,0.84,might,You'll probably get one.,0,./stim/images/prob_75_1.png,4,0,probably,9.138783333333333,3,0.16000000000000003,75
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.22000000000000008,./stim/images/prob_50_4.png,4,0,probably,9.138783333333333,3,0.78,50
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.77,./stim/images/prob_60_1.png,4,0,probably,9.138783333333333,3,0.2300000000000001,60
aisle_3,You might get one.,undefined,0.3899999999999999,might,You'll probably get one.,0,./stim/images/prob_60_5.png,4,0,probably,9.138783333333333,3,0.61,60
aisle_3,You might get one.,undefined,1.1102230246251565e-16,might,You'll probably get one.,0.52,./stim/images/prob_10_3.png,5,0,probably,8.364833333333333,3,0.47999999999999987,10
window_3,You might get one.,undefined,0.69,might,You'll probably get one.,0,./stim/images/prob_25_2.png,5,0,probably,8.364833333333333,3,0.31,25
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.47,./stim/images/prob_75_4.png,5,0,probably,8.364833333333333,3,0.53,75
aisle_3,You might get one.,undefined,0.9299999999999999,might,You'll probably get one.,0,./stim/images/prob_90_3.png,5,0,probably,8.364833333333333,3,0.07,90
aisle_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_100_5.png,5,0,probably,8.364833333333333,3,0,100
window_3,You might get one.,undefined,0.31000000000000005,might,You'll probably get one.,0,./stim/images/prob_40_4.png,5,0,probably,8.364833333333333,3,0.69,40
aisle_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_100_1.png,5,0,probably,8.364833333333333,3,0,100
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,1,./stim/images/prob_0_4.png,5,0,probably,8.364833333333333,3,0,0
aisle_3,You might get one.,undefined,0.5,might,You'll probably get one.,0,./stim/images/prob_60_2.png,5,0,probably,8.364833333333333,3,0.5,60
window_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_50_5.png,5,0,probably,8.364833333333333,3,1,50
window_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_60_3.png,5,0,probably,8.364833333333333,3,1,60
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,1,./stim/images/prob_25_1.png,5,0,probably,8.364833333333333,3,0,25
window_3,You might get one.,undefined,0,might,You'll probably get one.,1,./stim/images/prob_100_4.png,5,0,probably,8.364833333333333,3,0,100
window_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_60_1.png,5,0,probably,8.364833333333333,3,1,60
aisle_3,You might get one.,undefined,0.81,might,You'll probably get one.,0,./stim/images/prob_60_3.png,5,0,probably,8.364833333333333,3,0.19,60
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_40_3.png,5,0,probably,8.364833333333333,3,1,40
window_3,You might get one.,undefined,0,might,You'll probably get one.,0,./stim/images/prob_25_5.png,5,0,probably,8.364833333333333,3,1,25
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,1,./stim/images/prob_0_5.png,5,0,probably,8.364833333333333,3,0,0
window_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_10_3.png,5,0,probably,8.364833333333333,3,0,10
