modal1,rating_other,percent_window,condition,rating2,image,Answer.time_in_minutes,sentence2,workerid,type,sentence1,reverse_sent_order,modal2,Answer.condition,rating1
probably,0.92,90,5,0.07999999999999996,./stim/images/prob_90_1.png,30.69865,You might get one.,1,aisle_5,You'll probably get one.,0,might,undefined,0
probably,1,100,5,0,./stim/images/prob_100_4.png,30.69865,You might get one.,1,window_5,You'll probably get one.,0,might,undefined,0
probably,0,90,5,0.05999999999999994,./stim/images/prob_90_3.png,30.69865,You might get one.,1,window_5,You'll probably get one.,0,might,undefined,0.94
probably,0,10,5,0.13000000000000012,./stim/images/prob_10_4.png,30.69865,You might get one.,1,aisle_5,You'll probably get one.,0,might,undefined,0.87
probably,0.13,25,5,0.7,./stim/images/prob_25_1.png,30.69865,You might get one.,1,window_5,You'll probably get one.,0,might,undefined,0.17
probably,0,40,5,0.89,./stim/images/prob_40_2.png,30.69865,You might get one.,1,aisle_5,You'll probably get one.,0,might,undefined,0.1100000000000001
probably,0,40,5,0.85,./stim/images/prob_40_4.png,30.69865,You might get one.,1,aisle_5,You'll probably get one.,0,might,undefined,0.1499999999999999
probably,1,100,5,0,./stim/images/prob_100_4.png,30.69865,You might get one.,1,aisle_5,You'll probably get one.,0,might,undefined,0
probably,0,90,5,0.1499999999999999,./stim/images/prob_90_1.png,30.69865,You might get one.,1,window_5,You'll probably get one.,0,might,undefined,0.85
probably,0,25,5,0.88,./stim/images/prob_25_3.png,30.69865,You might get one.,1,window_5,You'll probably get one.,0,might,undefined,0.12
probably,0,50,5,0.89,./stim/images/prob_50_1.png,30.69865,You might get one.,1,aisle_5,You'll probably get one.,0,might,undefined,0.10999999999999988
probably,0,50,5,0.8799999999999999,./stim/images/prob_50_5.png,30.69865,You might get one.,1,aisle_5,You'll probably get one.,0,might,undefined,0.12
probably,1,0,5,0,./stim/images/prob_0_1.png,30.69865,You might get one.,1,aisle_5,You'll probably get one.,0,might,undefined,0
probably,0,75,5,0.88,./stim/images/prob_75_4.png,30.69865,You might get one.,1,aisle_5,You'll probably get one.,0,might,undefined,0.1200000000000001
probably,0,40,5,0.94,./stim/images/prob_40_1.png,30.69865,You might get one.,1,window_5,You'll probably get one.,0,might,undefined,0.060000000000000164
probably,0,75,5,0.26,./stim/images/prob_75_4.png,30.69865,You might get one.,1,window_5,You'll probably get one.,0,might,undefined,0.74
probably,1,0,5,0,./stim/images/prob_0_3.png,30.69865,You might get one.,1,window_5,You'll probably get one.,0,might,undefined,0
probably,0,60,5,0.83,./stim/images/prob_60_2.png,30.69865,You might get one.,1,window_5,You'll probably get one.,0,might,undefined,0.16999999999999993
probably,0,10,5,0.039999999999999925,./stim/images/prob_10_5.png,30.69865,You might get one.,1,aisle_5,You'll probably get one.,0,might,undefined,0.96
probably,1,100,5,0,./stim/images/prob_100_3.png,30.69865,You might get one.,1,aisle_5,You'll probably get one.,0,might,undefined,0
probably,0,50,5,0.84,./stim/images/prob_50_3.png,30.69865,You might get one.,1,window_5,You'll probably get one.,0,might,undefined,0.15999999999999992
probably,1,100,5,0,./stim/images/prob_100_5.png,30.69865,You might get one.,1,window_5,You'll probably get one.,0,might,undefined,0
probably,1,0,5,0,./stim/images/prob_0_3.png,30.69865,You might get one.,1,window_5,You'll probably get one.,0,might,undefined,0
