rating_other,reverse_sent_order,type,sentence1,sentence2,image,modal2,modal1,Answer.time_in_minutes,rating1,Answer.condition,percent_window,condition,workerid,rating2
1,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_0_3.png,might,probably,11.10855,0,undefined,0,1,0,0
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_90_2.png,might,probably,11.10855,0,undefined,90,1,0,1
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_40_5.png,might,probably,11.10855,1,undefined,40,1,0,0
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_50_1.png,might,probably,11.10855,1,undefined,50,1,0,0
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_10_5.png,might,probably,11.10855,1,undefined,10,1,0,0
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_90_5.png,might,probably,11.10855,1,undefined,90,1,0,0
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_50_4.png,might,probably,11.10855,0.5,undefined,50,1,0,0.4999999999999999
1,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_100_4.png,might,probably,11.10855,0,undefined,100,1,0,0
0.21000000000000008,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_0_3.png,might,probably,6.178133333333333,0.36,undefined,0,1,1,0.43
0.31999999999999995,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_40_1.png,might,probably,6.178133333333333,0.38,undefined,40,1,1,0.3
0.19999999999999996,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_90_1.png,might,probably,6.178133333333333,0.4,undefined,90,1,1,0.4
0.10000000000000009,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_100_3.png,might,probably,6.178133333333333,0.43,undefined,100,1,1,0.47
0.29000000000000004,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_100_3.png,might,probably,6.178133333333333,0.48,undefined,100,1,1,0.23
0.10999999999999988,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_25_1.png,might,probably,6.178133333333333,0.51,undefined,25,1,1,0.38
0.06000000000000005,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_25_3.png,might,probably,6.178133333333333,0.47,undefined,25,1,1,0.47
0.1299999999999999,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_0_2.png,might,probably,6.178133333333333,0.52,undefined,0,1,1,0.35
0.039999999999999925,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_100_4.png,might,probably,6.178133333333333,0.5,undefined,100,1,1,0.46
0.10000000000000009,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_100_5.png,might,probably,6.178133333333333,0.58,undefined,100,1,1,0.32
0.1399999999999999,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_10_4.png,might,probably,6.178133333333333,0.45,undefined,10,1,1,0.41
0.06000000000000005,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_10_3.png,might,probably,6.178133333333333,0.47,undefined,10,1,1,0.47
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_40_2.png,might,probably,6.178133333333333,0.48,undefined,40,1,1,0.52
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_60_5.png,might,probably,6.178133333333333,0.5,undefined,60,1,1,0.5
0.030000000000000027,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_10_4.png,might,probably,6.178133333333333,0.54,undefined,10,1,1,0.43
1.1102230246251565e-16,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_60_2.png,might,probably,6.178133333333333,0.4099999999999999,undefined,60,1,1,0.59
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_90_1.png,might,probably,6.178133333333333,0.39,undefined,90,1,1,0.61
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_0_1.png,might,probably,6.178133333333333,0.49,undefined,0,1,1,0.51
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_50_2.png,might,probably,6.178133333333333,0.38,undefined,50,1,1,0.62
0.020000000000000018,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_60_1.png,might,probably,6.178133333333333,0.43,undefined,60,1,1,0.55
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_40_1.png,might,probably,6.178133333333333,0.47,undefined,40,1,1,0.53
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_50_2.png,might,probably,6.178133333333333,0.41000000000000003,undefined,50,1,1,0.59
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_25_2.png,might,probably,6.178133333333333,0.4700000000000001,undefined,25,1,1,0.53
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_25_5.png,might,probably,6.178133333333333,0.44999999999999996,undefined,25,1,1,0.55
0.050000000000000044,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_75_5.png,might,probably,6.178133333333333,0.49,undefined,75,1,1,0.46
1.1102230246251565e-16,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_50_1.png,might,probably,6.178133333333333,0.4,undefined,50,1,1,0.6
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_40_1.png,might,probably,6.178133333333333,0.3900000000000001,undefined,40,1,1,0.61
1.1102230246251565e-16,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_75_5.png,might,probably,6.178133333333333,0.49,undefined,75,1,1,0.51
0.040000000000000036,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_75_2.png,might,probably,6.178133333333333,0.41,undefined,75,1,1,0.55
0.94,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_0_2.png,might,probably,6.178133333333333,0,undefined,0,1,1,0.06000000000000005
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_50_5.png,might,probably,6.178133333333333,0.52,undefined,50,1,1,0.48
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_90_4.png,might,probably,6.178133333333333,0.45999999999999996,undefined,90,1,1,0.54
0.13,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_90_4.png,might,probably,6.178133333333333,0.45,undefined,90,1,1,0.42
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_10_4.png,might,probably,6.178133333333333,0.49,undefined,10,1,1,0.51
2.220446049250313e-16,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_75_1.png,might,probably,6.178133333333333,0.4999999999999999,undefined,75,1,1,0.5
1.1102230246251565e-16,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_60_5.png,might,probably,6.178133333333333,0.5,undefined,60,1,1,0.5
0,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_60_5.png,might,probably,11.738133333333334,0.3600000000000001,undefined,60,1,2,0.64
1,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_0_2.png,might,probably,11.738133333333334,0,undefined,0,1,2,0
0,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_75_5.png,might,probably,11.738133333333334,0,undefined,75,1,2,1
1,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_100_5.png,might,probably,11.738133333333334,0,undefined,100,1,2,0
0.08999999999999997,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_10_4.png,might,probably,11.738133333333334,0,undefined,10,1,2,0.91
0.36,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_0_3.png,might,probably,11.738133333333334,0.64,undefined,0,1,2,0
1,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_0_5.png,might,probably,11.738133333333334,0,undefined,0,1,2,0
0,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_60_3.png,might,probably,11.738133333333334,0,undefined,60,1,2,1
0,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_10_5.png,might,probably,11.738133333333334,0.86,undefined,10,1,2,0.14000000000000012
0,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_40_4.png,might,probably,11.738133333333334,0,undefined,40,1,2,1
0,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_25_5.png,might,probably,11.738133333333334,0,undefined,25,1,2,1
0,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_75_2.png,might,probably,11.738133333333334,0.61,undefined,75,1,2,0.39
0,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_40_4.png,might,probably,11.738133333333334,0,undefined,40,1,2,1
0,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_50_3.png,might,probably,11.738133333333334,0.21999999999999997,undefined,50,1,2,0.78
0,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_50_3.png,might,probably,11.738133333333334,0.27000000000000013,undefined,50,1,2,0.73
0.16999999999999993,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_100_2.png,might,probably,11.738133333333334,0.83,undefined,100,1,2,0
0.66,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_90_1.png,might,probably,11.738133333333334,0,undefined,90,1,2,0.34
0.7699999999999999,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_25_5.png,might,probably,11.738133333333334,0,undefined,25,1,2,0.23
0,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_75_5.png,might,probably,11.738133333333334,0.53,undefined,75,1,2,0.47
0,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_60_3.png,might,probably,11.738133333333334,0,undefined,60,1,2,1
0.35,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_40_3.png,might,probably,11.738133333333334,0,undefined,40,1,2,0.65
0.1200000000000001,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_60_4.png,might,probably,11.738133333333334,0,undefined,60,1,2,0.88
0.2400000000000001,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_50_1.png,might,probably,11.738133333333334,0,undefined,50,1,2,0.76
0.2500000000000001,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_25_5.png,might,probably,11.738133333333334,0,undefined,25,1,2,0.75
0,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_10_4.png,might,probably,11.738133333333334,0.49,undefined,10,1,2,0.5099999999999999
0.21000000000000008,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_50_1.png,might,probably,11.738133333333334,0,undefined,50,1,2,0.79
0.25,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_100_5.png,might,probably,11.738133333333334,0.75,undefined,100,1,2,0
0.09,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_90_5.png,might,probably,11.738133333333334,0.78,undefined,90,1,2,0.1299999999999999
0.21999999999999997,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_25_2.png,might,probably,11.738133333333334,0,undefined,25,1,2,0.78
0.37,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_75_1.png,might,probably,11.738133333333334,0,undefined,75,1,2,0.63
0.93,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_90_5.png,might,probably,11.738133333333334,0,undefined,90,1,2,0.06999999999999984
1,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_100_3.png,might,probably,11.738133333333334,0,undefined,100,1,2,0
0,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_40_3.png,might,probably,11.738133333333334,0.58,undefined,40,1,2,0.42000000000000004
0,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_90_1.png,might,probably,11.738133333333334,0.74,undefined,90,1,2,0.2600000000000001
0.14,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_0_2.png,might,probably,11.738133333333334,0.86,undefined,0,1,2,0
0.87,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_10_5.png,might,probably,11.738133333333334,0,undefined,10,1,2,0.1299999999999999
0.99,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_0_3.png,might,probably,26.8793,0,undefined,0,1,3,0.01
0,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_60_3.png,might,probably,26.8793,0.86,undefined,60,1,3,0.1399999999999999
0,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_60_4.png,might,probably,26.8793,1,undefined,60,1,3,0
1,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_0_1.png,might,probably,26.8793,0,undefined,0,1,3,0
0,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_60_1.png,might,probably,26.8793,0,undefined,60,1,3,1
1,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_100_2.png,might,probably,26.8793,0,undefined,100,1,3,0
0,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_50_5.png,might,probably,26.8793,0.86,undefined,50,1,3,0.14
1,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_0_4.png,might,probably,26.8793,0,undefined,0,1,3,0
1,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_100_3.png,might,probably,26.8793,0,undefined,100,1,3,0
1,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_90_3.png,might,probably,26.8793,0,undefined,90,1,3,0
0,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_75_3.png,might,probably,26.8793,0,undefined,75,1,3,1
0,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_75_1.png,might,probably,26.8793,0,undefined,75,1,3,1
0,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_25_3.png,might,probably,26.8793,0,undefined,25,1,3,1
0,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_25_3.png,might,probably,26.8793,1,undefined,25,1,3,0
0,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_75_2.png,might,probably,26.8793,1,undefined,75,1,3,0
1,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_90_1.png,might,probably,26.8793,0,undefined,90,1,3,0
0,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_10_5.png,might,probably,26.8793,1,undefined,10,1,3,0
0,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_60_1.png,might,probably,26.8793,0,undefined,60,1,3,1
0,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_40_5.png,might,probably,26.8793,0,undefined,40,1,3,1
1,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_10_5.png,might,probably,26.8793,0,undefined,10,1,3,0
0,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_75_1.png,might,probably,26.8793,1,undefined,75,1,3,0
0,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_40_3.png,might,probably,26.8793,1,undefined,40,1,3,0
0,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_40_5.png,might,probably,26.8793,1,undefined,40,1,3,0
1,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_0_1.png,might,probably,26.8793,0,undefined,0,1,3,0
0,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_50_2.png,might,probably,26.8793,0,undefined,50,1,3,1
1,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_100_3.png,might,probably,26.8793,0,undefined,100,1,3,0
1,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_100_1.png,might,probably,26.8793,0,undefined,100,1,3,0
0,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_50_4.png,might,probably,26.8793,0,undefined,50,1,3,1
0,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_90_2.png,might,probably,26.8793,1,undefined,90,1,3,0
0,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_25_5.png,might,probably,26.8793,1,undefined,25,1,3,0
0,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_25_4.png,might,probably,26.8793,0,undefined,25,1,3,1
0,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_50_2.png,might,probably,26.8793,0,undefined,50,1,3,1
0,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_40_3.png,might,probably,26.8793,0,undefined,40,1,3,1
0,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_90_3.png,might,probably,26.8793,1,undefined,90,1,3,0
1,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_10_5.png,might,probably,26.8793,0,undefined,10,1,3,0
0,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_10_2.png,might,probably,26.8793,1,undefined,10,1,3,0
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_25_5.png,might,probably,9.929566666666666,0,undefined,25,1,4,1
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_40_5.png,might,probably,9.929566666666666,0.21000000000000008,undefined,40,1,4,0.79
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_50_1.png,might,probably,9.929566666666666,0.19999999999999996,undefined,50,1,4,0.8
1,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_100_5.png,might,probably,9.929566666666666,0,undefined,100,1,4,0
0.97,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_25_2.png,might,probably,9.929566666666666,0.01,undefined,25,1,4,0.02
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_50_3.png,might,probably,9.929566666666666,0.13,undefined,50,1,4,0.8700000000000001
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_60_3.png,might,probably,9.929566666666666,0.08000000000000007,undefined,60,1,4,0.92
1,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_10_1.png,might,probably,9.929566666666666,0,undefined,10,1,4,0
1,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_10_5.png,might,probably,9.929566666666666,0,undefined,10,1,4,0
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_40_3.png,might,probably,9.929566666666666,0.8599999999999999,undefined,40,1,4,0.14
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_60_3.png,might,probably,9.929566666666666,0.04,undefined,60,1,4,0.96
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_50_1.png,might,probably,9.929566666666666,1,undefined,50,1,4,0
1,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_90_5.png,might,probably,9.929566666666666,0,undefined,90,1,4,0
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_25_4.png,might,probably,9.929566666666666,1,undefined,25,1,4,0
1,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_0_4.png,might,probably,9.929566666666666,0,undefined,0,1,4,0
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_25_3.png,might,probably,9.929566666666666,1,undefined,25,1,4,0
1,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_0_5.png,might,probably,9.929566666666666,0,undefined,0,1,4,0
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_75_5.png,might,probably,9.929566666666666,0,undefined,75,1,4,1
1,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_90_4.png,might,probably,9.929566666666666,0,undefined,90,1,4,0
1,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_100_3.png,might,probably,9.929566666666666,0,undefined,100,1,4,0
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_40_2.png,might,probably,9.929566666666666,0,undefined,40,1,4,1
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_40_2.png,might,probably,9.929566666666666,0,undefined,40,1,4,1
1,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_0_2.png,might,probably,9.929566666666666,0,undefined,0,1,4,0
1,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_90_3.png,might,probably,9.929566666666666,0,undefined,90,1,4,0
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_50_4.png,might,probably,9.929566666666666,0,undefined,50,1,4,1
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_10_4.png,might,probably,9.929566666666666,1,undefined,10,1,4,0
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_60_4.png,might,probably,9.929566666666666,0,undefined,60,1,4,1
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_60_2.png,might,probably,9.929566666666666,1,undefined,60,1,4,0
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_75_4.png,might,probably,9.929566666666666,0,undefined,75,1,4,1
1,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_90_1.png,might,probably,9.929566666666666,0,undefined,90,1,4,0
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_75_1.png,might,probably,9.929566666666666,1,undefined,75,1,4,0
1,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_10_1.png,might,probably,9.929566666666666,0,undefined,10,1,4,0
1,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_100_1.png,might,probably,9.929566666666666,0,undefined,100,1,4,0
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_75_4.png,might,probably,9.929566666666666,1,undefined,75,1,4,0
1,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_100_3.png,might,probably,9.929566666666666,0,undefined,100,1,4,0
1,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_0_4.png,might,probably,9.929566666666666,0,undefined,0,1,4,0
0.20000000000000018,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_50_3.png,might,probably,20.064066666666665,0.48,undefined,50,1,5,0.31999999999999984
0.11,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_25_5.png,might,probably,20.064066666666665,0.66,undefined,25,1,5,0.22999999999999998
1,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_100_1.png,might,probably,20.064066666666665,0,undefined,100,1,5,0
0.31000000000000005,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_60_1.png,might,probably,20.064066666666665,0,undefined,60,1,5,0.69
0,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_25_3.png,might,probably,20.064066666666665,0.6,undefined,25,1,5,0.40000000000000013
0.3999999999999999,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_100_4.png,might,probably,20.064066666666665,0.6,undefined,100,1,5,0
0,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_50_1.png,might,probably,20.064066666666665,0.48,undefined,50,1,5,0.52
0,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_90_1.png,might,probably,20.064066666666665,0.65,undefined,90,1,5,0.35
0.6699999999999999,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_10_5.png,might,probably,20.064066666666665,0,undefined,10,1,5,0.33
2.220446049250313e-16,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_0_3.png,might,probably,20.064066666666665,0.82,undefined,0,1,5,0.17999999999999994
0.18999999999999995,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_50_2.png,might,probably,20.064066666666665,0.26,undefined,50,1,5,0.55
1,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_0_5.png,might,probably,20.064066666666665,0,undefined,0,1,5,0
0.7399999999999999,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_90_1.png,might,probably,20.064066666666665,0,undefined,90,1,5,0.26
0.38,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_75_1.png,might,probably,20.064066666666665,0.04,undefined,75,1,5,0.58
2.220446049250313e-16,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_90_2.png,might,probably,20.064066666666665,0.65,undefined,90,1,5,0.34999999999999987
0.42000000000000015,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_25_1.png,might,probably,20.064066666666665,0,undefined,25,1,5,0.58
0.030000000000000027,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_60_1.png,might,probably,20.064066666666665,0.24,undefined,60,1,5,0.73
0.1200000000000001,0,window_1,You'll probably get one.,You might get one.,./stim/images/prob_40_5.png,might,probably,20.064066666666665,0.3,undefined,40,1,5,0.58
1.1102230246251565e-16,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_40_3.png,might,probably,20.064066666666665,0.52,undefined,40,1,5,0.48
0.050000000000000155,0,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_40_5.png,might,probably,20.064066666666665,0.59,undefined,40,1,5,0.36
